Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Gross Proceeds,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength,Days Held
HCLTECH.NS,2022-02-04 00:00:00+05:30,1008.7971801757812,2022-02-14 00:00:00+05:30,1000.8569409179687,99,99970.92083740234,99084.8371508789,98985.75231372802,-985.1685236743215,-0.9854550857610368,Trailing Stop,12.250631959542789,10
HINDALCO.NS,2022-05-19 00:00:00+05:30,405.2177429199219,2022-05-23 00:00:00+05:30,404.46661437988286,244,98972.11502477467,98689.85390869141,98591.16405478271,-380.9509699919581,-0.3849073750688248,Trailing Stop,4.473019293687734,4
TITAN.NS,2022-05-23 00:00:00+05:30,2123.43359375,2022-06-07 00:00:00+05:30,2159.878349609375,46,97776.53647655479,99354.40408203125,99255.04967794922,1478.5132013944385,1.5121349708976057,Trailing Stop,19.39305835789306,15
DIVISLAB.NS,2022-06-10 00:00:00+05:30,3436.368896484375,2022-08-04 00:00:00+05:30,3780.005786132813,28,96317.58415124044,105840.16201171876,105734.32184970703,9416.73769846659,9.776758606902117,Take Profit,34.50273280576671,55
INFY.NS,2022-09-30 00:00:00+05:30,1309.3729248046875,2022-11-01 00:00:00+05:30,1440.3102172851563,80,104855.56830622471,115224.8173828125,115109.59256542969,10254.024259204976,9.779189054851797,Take Profit,10.411892706469589,32
GRASIM.NS,2023-01-20 00:00:00+05:30,1627.587646484375,2023-01-23 00:00:00+05:30,1603.94091796875,70,114046.24484647167,112275.8642578125,112163.58839355469,-1882.6564529169846,-1.6507833777880232,MACD Bearish Crossover,0.7692333317677955,3
BAJAJFINSV.NS,2023-01-30 00:00:00+05:30,1341.6416015625,2023-02-01 00:00:00+05:30,1301.392353515625,83,111468.41651808105,108015.56534179687,107907.54977645508,-3560.8667416259705,-3.1945073347734962,Stop Loss,13.195458485897278,2
RELIANCE.NS,2023-02-09 00:00:00+05:30,1075.52880859375,2023-02-28 00:00:00+05:30,1080.5247033691405,100,107660.78840915146,108052.47033691405,107944.41786657713,283.62945742567535,0.2634473159789401,Trailing Stop,6.741635942357489,19
CIPLA.NS,2023-03-16 00:00:00+05:30,861.5120849609375,2023-05-17 00:00:00+05:30,901.0064086914062,125,107796.95503798376,112625.80108642578,112513.17528533936,4716.220247355595,4.375095980859356,MACD Bearish Crossover,7.290567339574768,62
BRITANNIA.NS,2023-08-25 00:00:00+05:30,4409.857421875,2023-10-26 00:00:00+05:30,4392.318359375,25,110358.94872216033,109807.958984375,109698.15102539063,-660.7976967697032,-0.5987712862627274,MACD Bearish Crossover,16.202919949539883,62
WIPRO.NS,2023-11-07 00:00:00+05:30,183.8988342285156,2023-12-08 00:00:00+05:30,202.28871765136716,595,109529.50451699218,120361.78700256346,120241.4252155609,10711.92069856872,9.779940798423766,Take Profit,0.8479743899722606,31
HCLTECH.NS,2024-05-15 00:00:00+05:30,1280.4312744140625,2024-06-03 00:00:00+05:30,1265.7796655273437,93,119200.34994572337,117717.50889404297,117599.79138514893,-1600.5585605744418,-1.3427465282637503,Trailing Stop,10.844867334166283,19
NESTLEIND.NS,2024-11-06 00:00:00+05:30,1118.61669921875,2024-11-14 00:00:00+05:30,1085.0581982421875,105,117572.3532093539,113931.11081542968,113817.17970461425,-3755.1735047396505,-3.19392561451334,Stop Loss,7.440981202605833,8
DABUR.NS,2024-11-22 00:00:00+05:30,507.9059143066406,2024-12-09 00:00:00+05:30,506.5940447998047,223,113376.83607008547,112970.47199035644,112857.50151836609,-519.3345517193811,-0.4580605436884367,Trailing Stop,2.9529739395258296,17
HINDUNILVR.NS,2024-12-27 00:00:00+05:30,2316.88525390625,2025-01-14 00:00:00+05:30,2352.728369140625,48,111323.34968901836,112930.96171875001,112818.03075703126,1494.6810680128983,1.3426483053090732,Trailing Stop,5.904767698348686,18
DRREDDY.NS,2025-03-07 00:00:00+05:30,1126.1080322265625,2025-03-26 00:00:00+05:30,1166.5923107910155,100,112723.62125341328,116659.23107910155,116542.57184802245,3818.9505946091667,3.387888494128313,Trailing Stop,5.206244425286511,19
INDUSINDBK.NS,2025-04-01 00:00:00+05:30,682.7000122070312,2025-04-04 00:00:00+05:30,688.1180236816406,170,116175.54464704334,116980.06402587889,116863.08396185302,687.5393148096773,0.5918107093007505,Trailing Stop,19.188239763086624,3
TCS.NS,2025-04-22 00:00:00+05:30,3274.088623046875,2025-05-20 00:00:00+05:30,3469.0759350585936,35,114709.96489060248,121417.65772705077,121296.24006932371,6586.275178721233,5.741676570995802,Trailing Stop,20.357213121860042,28
HDFCBANK.NS,2025-09-10 00:00:00+05:30,965.9000244140624,2025-09-24 00:00:00+05:30,951.0499877929688,125,120858.79929182712,118881.2484741211,118762.36722564697,-2096.4320661801466,-1.7346126872550474,MACD Bearish Crossover,2.4531268075522723,14
