Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Gross Proceeds,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength,Days Held,Position Type,Market Regime
ASIANPAINT.NS,2024-02-13 00:00:00+05:30,2911.22802734375,2024-02-26 00:00:00+05:30,2823.891186523437,6,17487.3681640625,16943.347119140624,16926.403772021484,-560.9643920410163,-3.207826282252288,Stop Loss,17.426045348982182,13,LONG,bull
DIVISLAB.NS,2024-03-11 00:00:00+05:30,3566.520751953125,2024-03-26 00:00:00+05:30,3459.525129394531,5,17852.603759765625,17297.625646972658,17280.328021325684,-572.275738439941,-3.205558954541285,Stop Loss,24.735241455688005,15,LONG,bull
BAJFINANCE.NS,2024-03-11 00:00:00+05:30,637.1010131835938,2024-04-01 00:00:00+05:30,700.8111145019532,31,19770.131408691406,21725.144549560548,21703.419405010987,1933.287996319581,9.778832301891848,Take Profit,1.7565735545147192,21,LONG,bull
ASIANPAINT.NS,2024-03-11 00:00:00+05:30,2818.403076171875,2024-04-15 00:00:00+05:30,2786.612060546875,7,19748.821533203125,19506.284423828125,19486.778139404298,-262.0433937988273,-1.3268811678624028,Max Hold Period,15.73400576389919,35,LONG,bull
DABUR.NS,2024-04-23 00:00:00+05:30,497.40032958984375,2024-05-27 00:00:00+05:30,547.1403625488282,40,19916.01318359375,21885.61450195313,21863.728887451176,1947.715703857426,9.779646588414087,Take Profit,1.8957573780324908,34,LONG,bull
TITAN.NS,2024-05-21 00:00:00+05:30,3355.88671875,2024-06-03 00:00:00+05:30,3255.2101171874997,5,16799.43359375,16276.050585937499,16259.774535351562,-539.659058398438,-3.2123646037638482,Stop Loss,29.897578596938544,13,LONG,bull
LT.NS,2024-05-21 00:00:00+05:30,3382.565185546875,2024-06-03 00:00:00+05:30,3720.821704101563,5,16932.825927734375,18604.108520507812,18585.504411987306,1652.6784842529305,9.760204772116618,Take Profit,17.29952979512098,13,LONG,bull
IOC.NS,2024-05-21 00:00:00+05:30,156.81011962890625,2024-06-10 00:00:00+05:30,159.7612319946289,127,19934.885192871094,20289.676463317872,20269.386786854553,334.5015939834593,1.677971007844481,Trailing Stop,1.6209701812207065,20,LONG,bull
MandM.NS,2024-08-19 00:00:00+05:30,2743.111572265625,2024-09-09 00:00:00+05:30,2687.713937988281,7,19221.781005859375,18813.99756591797,18795.18356835205,-426.5974375073238,-2.2193439691009074,Trailing Stop,4.715442790968645,21,LONG,bull
SBIN.NS,2024-09-19 00:00:00+05:30,774.400390625,2024-10-08 00:00:00+05:30,766.0676879882812,25,19380.009765625,19151.69219970703,19132.540507507325,-247.46925811767505,-1.276930512989833,MACD Bearish Crossover,2.1276001813665393,19,LONG,bull
LT.NS,2024-10-18 00:00:00+05:30,3544.74072265625,2024-10-28 00:00:00+05:30,3438.3985009765624,5,17743.70361328125,17191.99250488281,17174.80051237793,-568.9031009033206,-3.206225223901361,Stop Loss,17.071051707485328,10,LONG,bull
RELIANCE.NS,2024-10-29 00:00:00+05:30,1334.66943359375,2024-11-11 00:00:00+05:30,1294.6293505859376,14,18705.3720703125,18124.810908203126,18106.68609729492,-598.6859730175784,-3.2006098075309577,Stop Loss,4.883737744604049,13,LONG,bull
TCS.NS,2024-10-29 00:00:00+05:30,4016.114501953125,2024-11-18 00:00:00+05:30,4013.6397607421873,4,16084.4580078125,16054.559042968749,16038.50448392578,-45.95352388671927,-0.28570141352850587,Trailing Stop,10.835739501338098,20,LONG,bull
DRREDDY.NS,2024-11-11 00:00:00+05:30,1279.783447265625,2024-11-18 00:00:00+05:30,1241.3899438476562,15,19216.751708984375,18620.849157714845,18602.22830855713,-614.5234004272461,-3.1978526326066805,Stop Loss,3.449537963238135,7,LONG,bull
MARUTI.NS,2024-11-11 00:00:00+05:30,11277.6376953125,2024-11-25 00:00:00+05:30,10939.308564453124,1,11297.6376953125,10939.308564453124,10928.36925588867,-369.2684394238295,-3.268545596722778,Stop Loss,85.55754334830647,14,LONG,bull
BAJAJ-AUTO.NS,2024-11-18 00:00:00+05:30,9281.275390625,2024-12-02 00:00:00+05:30,9002.83712890625,2,18582.55078125,18005.6742578125,17987.66858355469,-594.8821976953113,-3.201294616105955,Stop Loss,17.809749561320018,14,LONG,bull
HINDUNILVR.NS,2024-11-11 00:00:00+05:30,2465.12646484375,2024-12-09 00:00:00+05:30,2391.1726708984374,8,19741.01171875,19129.3813671875,19110.251985820312,-630.7597329296877,-3.1951742996565495,Stop Loss,8.369524089811364,28,LONG,bull
BHARTIARTL.NS,2024-11-25 00:00:00+05:30,1565.6612548828125,2024-12-23 00:00:00+05:30,1599.303485107422,12,18807.93505859375,19191.641821289064,19172.450179467774,364.51512087402443,1.9380921921434944,Trailing Stop,13.95343485515588,28,LONG,bull
COALINDIA.NS,2024-11-25 00:00:00+05:30,399.9894409179687,2024-12-23 00:00:00+05:30,387.9897576904296,49,19619.482604980465,19011.49812683105,18992.48662870422,-626.9959762762446,-3.1957824214848554,Stop Loss,3.148044549099394,28,LONG,bull
ITC.NS,2024-11-25 00:00:00+05:30,460.89886474609375,2024-12-30 00:00:00+05:30,461.0921936035156,43,19838.65118408203,19826.964324951172,19807.13736062622,-31.51382345581078,-0.15885063537533528,Max Hold Period,3.202688229819439,35,LONG,bull
APOLLOHOSP.NS,2024-12-02 00:00:00+05:30,7046.80078125,2025-10-01 00:00:00+05:30,7441.0,2,14113.6015625,14882.0,14867.118,753.5164375000004,5.338938003621288,End of backtest,50.38013697679999,303,LONG,bull
