Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit per Trade,Strong Buy Signals,Momentum Buy Signals,Data Points,Test Period
MARUTI.NS,Maruti Suzuki,16,100000,101002.61622278456,1002.6162227845634,1.0026162227845634,2,1,1,50.0,501.3081113922817,0,2,927,2022-01-03 to 2025-10-01
ULTRACEMCO.NS,UltraTech Cement,2,100000,100972.28801974388,972.288019743879,0.9722880197438789,3,3,0,100.0,324.096006581293,0,3,926,2022-01-03 to 2025-10-01
DIVISLAB.NS,Divi's Laboratories,2,100000,100945.24915318722,945.249153187222,0.945249153187222,5,4,1,80.0,189.0498306374444,0,5,925,2022-01-03 to 2025-10-01
BAJAJ-AUTO.NS,Bajaj Auto,12,100000,100796.16985906092,796.1698590609158,0.7961698590609159,1,1,0,100.0,796.1698590609158,0,1,925,2022-01-03 to 2025-10-01
BRITANNIA.NS,Britannia Industries,29,100000,100563.2720465066,563.272046506594,0.563272046506594,1,1,0,100.0,563.272046506594,0,1,927,2022-01-03 to 2025-10-01
EICHERMOT.NS,Eicher Motors,8,100000,100463.10438272421,463.10438272421015,0.4631043827242102,2,2,0,100.0,231.55219136210508,0,2,925,2022-01-03 to 2025-10-01
LT.NS,Larsen & Toubro,6,100000,100350.0259748497,350.02597484970465,0.35002597484970466,3,3,0,100.0,116.67532494990155,0,3,927,2022-01-03 to 2025-10-01
APOLLOHOSP.NS,Apollo Hospitals,1,100000,100324.74645282162,324.74645282162237,0.32474645282162234,3,3,0,100.0,108.24881760720746,0,3,926,2022-01-03 to 2025-10-01
AXISBANK.NS,Axis Bank,11,100000,100299.82133354327,299.8213335432665,0.2998213335432665,3,3,0,100.0,99.94044451442217,0,3,927,2022-01-03 to 2025-10-01
TATAMOTORS.NS,Tata Motors,5,100000,100294.5251852578,294.52518525779305,0.29452518525779303,5,5,0,100.0,58.90503705155861,0,5,927,2022-01-03 to 2025-10-01
GRASIM.NS,Grasim Industries,7,100000,100282.85970730022,282.85970730021654,0.28285970730021653,2,2,0,100.0,141.42985365010827,0,2,926,2022-01-03 to 2025-10-01
MandM.NS,MandM.NS,5,100000,100270.00587036136,270.0058703613613,0.2700058703613613,2,2,0,100.0,135.00293518068065,0,2,927,2022-01-03 to 2025-10-01
