Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength,Days Held,Market Regime
JSWSTEEL.NS,2022-03-25 00:00:00+05:30,689.5211791992188,2022-04-29 00:00:00+05:30,711.9503387451172,55,37961.99435595703,39118.111362350464,1156.1170063934333,3.045459086139963,Trailing Stop,3.740751524022671,35,bull
BAJAJ-AUTO.NS,2022-06-01 00:00:00+05:30,3365.660400390625,2022-07-07 00:00:00+05:30,3562.846435546875,11,37060.593904296875,39152.11948022461,2091.525575927735,5.643529570326826,Max Hold Period,3.045588494272547,36,bull
LT.NS,2022-07-18 00:00:00+05:30,1661.7701416015625,2022-08-22 00:00:00+05:30,1832.10107421875,23,38259.04275683594,42096.18638232422,3837.143625488279,10.029376975990017,Max Hold Period,5.42850773422002,35,bull
TATAMOTORS.NS,2022-07-18 00:00:00+05:30,444.2962341308594,2022-08-22 00:00:00+05:30,455.5789953613281,74,32911.251325683595,33679.132811081545,767.8814853979493,2.3331883610232182,Trailing Stop,2.4631044651185494,35,bull
HCLTECH.NS,2022-08-22 00:00:00+05:30,855.0533447265625,2022-09-02 00:00:00+05:30,829.4017443847656,38,32525.357099609377,31485.74902033447,-1039.6080792749053,-3.1963002776298213,Stop Loss,0.9723405648378396,11,bull
SUNPHARMA.NS,2022-09-29 00:00:00+05:30,903.9561157226562,2022-11-03 00:00:00+05:30,1014.1945190429688,42,38004.48636035156,42553.57363000488,4549.087269653319,11.969869100504894,Max Hold Period,1.6980682283664252,35,bull
POWERGRID.NS,2022-11-09 00:00:00+05:30,142.5465850830078,2022-12-15 00:00:00+05:30,144.35462951660156,268,38240.81430224609,38648.35366973877,407.5393674926745,1.0657183298231634,Max Hold Period,0.3859527393205817,36,bull
SBILIFE.NS,2022-11-21 00:00:00+05:30,1219.2115478515625,2022-12-26 00:00:00+05:30,1248.7282922363281,27,32952.04179199219,33681.94822649047,729.9064344982835,2.2150567758616435,Trailing Stop,1.186151056905919,35,bull
SBILIFE.NS,2023-01-13 00:00:00+05:30,1305.0413818359375,2023-01-27 00:00:00+05:30,1265.8901403808593,25,32659.36454589844,31615.60625601196,-1043.7582898864785,-3.195892830124155,Stop Loss,1.5227389336327732,14,bull
BAJAJ-AUTO.NS,2023-01-30 00:00:00+05:30,3605.6982421875,2023-03-06 00:00:00+05:30,3515.5557861328125,10,36095.311921875,35120.4023034668,-974.9096184082009,-2.7009314132491875,Stop Loss,3.595310667850397,35,bull
LT.NS,2023-04-05 00:00:00+05:30,2199.46630859375,2023-05-12 00:00:00+05:30,2234.2619091796873,17,37429.25674609375,37944.47000359863,515.2132575048818,1.376498766726516,Trailing Stop,2.7546843178542417,37,bull
KOTAKBANK.NS,2023-04-17 00:00:00+05:30,1889.33935546875,2023-05-12 00:00:00+05:30,1954.5887451171875,17,32152.09904296875,33194.780658325195,1042.6816153564432,3.242965922576256,Max Hold Period,4.615813000709268,25,bull
BHARTIARTL.NS,2023-04-28 00:00:00+05:30,784.6759643554688,2023-05-25 00:00:00+05:30,807.6478881835938,48,37702.7757890625,38728.331534179684,1025.5557451171844,2.7201067392356193,Max Hold Period,1.5123698065006943,27,bull
JSWSTEEL.NS,2023-06-14 00:00:00+05:30,761.57568359375,2023-06-26 00:00:00+05:30,742.5362915039062,50,38117.1136796875,37089.687760620116,-1027.4259190673838,-2.6954452210134057,Stop Loss,2.4928404836175875,12,bull
DRREDDY.NS,2023-06-26 00:00:00+05:30,988.337890625,2023-07-31 00:00:00+05:30,1106.9384375000002,33,32648.480390625,36492.439469062505,3843.959078437503,11.77377639769505,Take Profit,2.6535391129324606,35,bull
