Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Quantity,Capital Invested,Gross Proceeds,Net Proceeds,PnL,PnL %,Exit Reason,Signal Strength (ROC),Days Held
NESTLEIND.NS,2024-01-01 00:00:00+05:30,1330.169189453125,2024-01-08 00:00:00+05:30,1276.962421875,75,99862.68920898438,95772.181640625,95676.40945898437,-4186.2797500000015,-4.192035867609475,Stop Loss,12.336661140939045,7
ADANIPORTS.NS,2024-01-08 00:00:00+05:30,1158.221435546875,2024-01-18 00:00:00+05:30,1155.1754296875,82,95069.83412430274,94724.38523437499,94629.66084914061,-440.1732751621312,-0.46299994021932295,Trailing Stop,13.756686231875934,10
HCLTECH.NS,2024-01-18 00:00:00+05:30,1474.5216064453125,2024-02-19 00:00:00+05:30,1587.986328125,64,94464.01247334914,101631.125,101529.493875,7065.481401650861,7.4795482603962276,Max Hold Period,10.394740437651636,32
SBIN.NS,2024-02-19 00:00:00+05:30,732.02880859375,2024-03-13 00:00:00+05:30,729.4043554687499,138,101121.5050798125,100657.80105468749,100557.14325363279,-564.3618261797092,-0.558102676314275,Trailing Stop,18.08849518486687,23
HDFCLIFE.NS,2024-03-14 00:00:00+05:30,618.431640625,2024-04-15 00:00:00+05:30,609.188720703125,162,100286.48292450364,98688.57275390625,98589.88418115235,-1696.5987433512928,-1.6917521622814353,ROC Reversal,7.173611497477624,32
HINDALCO.NS,2024-04-15 00:00:00+05:30,604.7725830078125,2024-05-07 00:00:00+05:30,615.97376953125,162,98071.74833144678,99787.7506640625,99687.96291339844,1616.214581951659,1.6479920154879288,Trailing Stop,9.361889335228177,22
DABUR.NS,2024-05-07 00:00:00+05:30,547.7141723632812,2024-05-17 00:00:00+05:30,525.80560546875,181,99235.95316066731,95170.81458984374,95075.64377525389,-4160.30938541342,-4.192340833042334,Stop Loss,10.33291620242513,10
MandM.NS,2024-05-17 00:00:00+05:30,2476.426025390625,2024-05-30 00:00:00+05:30,2466.80625,38,94199.264608619,93738.6375,93644.89886249999,-554.365746119016,-0.5885032631860831,Trailing Stop,14.66484063998354,13
DIVISLAB.NS,2024-05-30 00:00:00+05:30,4366.0009765625,2024-07-01 00:00:00+05:30,4553.29345703125,21,91779.665406675,95619.16259765625,95523.5434350586,3743.878028383595,4.079202088822726,Max Hold Period,13.365276696147241,32
WIPRO.NS,2024-07-01 00:00:00+05:30,253.55039978027344,2024-07-22 00:00:00+05:30,243.4083837890625,376,95430.47386081787,91521.5523046875,91430.03075238281,-4000.4431084350654,-4.191997531385599,Stop Loss,10.439789080319931,21
