Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit per Trade,Data Points,Test Period
BAJAJ-AUTO.NS,Bajaj Auto,5,100000,106871.83776294554,6871.837762945535,6.871837762945536,20,19,1,95.0,343.5918881472768,925,2022-01-03 to 2025-10-01
MARUTI.NS,Maruti Suzuki,1,100000,105392.55057952467,5392.550579524672,5.392550579524672,17,15,2,88.23529411764706,317.20885761909835,927,2022-01-03 to 2025-10-01
ULTRACEMCO.NS,UltraTech Cement,3,100000,105214.70367713062,5214.703677130616,5.214703677130616,18,16,2,88.88888888888889,289.70575984058974,926,2022-01-03 to 2025-10-01
DIVISLAB.NS,Divi's Laboratories,2,100000,103241.93413794064,3241.9341379406396,3.24193413794064,24,22,2,91.66666666666666,135.08058908086,925,2022-01-03 to 2025-10-01
EICHERMOT.NS,Eicher Motors,3,100000,103013.1962587,3013.1962587000016,3.0131962587000016,20,18,2,90.0,150.65981293500008,925,2022-01-03 to 2025-10-01
ADANIENT.NS,Adani Enterprises,8,100000,102981.37948318126,2981.3794831812556,2.981379483181256,15,12,3,80.0,198.7586322120837,927,2022-01-03 to 2025-10-01
BRITANNIA.NS,Britannia Industries,6,100000,102727.33255827115,2727.332558271155,2.727332558271155,18,17,1,94.44444444444444,151.5184754595086,927,2022-01-03 to 2025-10-01
APOLLOHOSP.NS,Apollo Hospitals,1,100000,102425.18608980993,2425.1860898099258,2.425186089809926,25,20,5,80.0,97.00744359239702,926,2022-01-03 to 2025-10-01
MandM.NS,MandM.NS,1,100000,101707.79708883025,1707.7970888302516,1.7077970888302516,24,21,3,87.5,71.15821203459382,927,2022-01-03 to 2025-10-01
LT.NS,Larsen & Toubro,1,100000,101505.87870164862,1505.8787016486167,1.5058787016486168,22,20,2,90.9090909090909,68.44903189311894,927,2022-01-03 to 2025-10-01
TCS.NS,Tata Consultancy Services,2,100000,101149.58674338288,1149.5867433828826,1.1495867433828826,10,10,0,100.0,114.95867433828826,927,2022-01-03 to 2025-10-01
GRASIM.NS,Grasim Industries,2,100000,101098.48395214557,1098.4839521455724,1.0984839521455725,16,15,1,93.75,68.65524700909828,926,2022-01-03 to 2025-10-01
TITAN.NS,Titan Company,1,100000,101028.90593949817,1028.9059394981741,1.028905939498174,15,13,2,86.66666666666667,68.59372929987828,927,2022-01-03 to 2025-10-01
BAJAJFINSV.NS,Bajaj Finserv,1,100000,100998.10124141374,998.1012414137367,0.9981012414137368,17,16,1,94.11764705882352,58.711837730219806,925,2022-01-03 to 2025-10-01
SBILIFE.NS,SBI Life Insurance,1,100000,100970.9594983593,970.9594983592979,0.9709594983592978,27,25,2,92.5925925925926,35.96146290219622,925,2022-01-03 to 2025-10-01
HINDUNILVR.NS,Hindustan Unilever,1,100000,100894.45603173425,894.4560317342548,0.8944560317342549,16,14,2,87.5,55.903501983390925,926,2022-01-03 to 2025-10-01
ADANIPORTS.NS,Adani Ports,1,100000,100805.63679521423,805.6367952142318,0.8056367952142318,35,31,4,88.57142857142857,23.01819414897805,926,2022-01-03 to 2025-10-01
DRREDDY.NS,Dr. Reddy's Laboratories,5,100000,100691.1510486329,691.1510486329062,0.6911510486329061,15,15,0,100.0,46.07673657552708,926,2022-01-03 to 2025-10-01
HCLTECH.NS,HCL Technologies,30,100000,100674.39359219847,674.3935921984666,0.6743935921984666,11,7,4,63.63636363636363,61.308508381678784,927,2022-01-03 to 2025-10-01
SUNPHARMA.NS,Sun Pharmaceutical,27,100000,100627.65359299867,627.6535929986712,0.6276535929986713,5,5,0,100.0,125.53071859973424,927,2022-01-03 to 2025-10-01
TATAMOTORS.NS,Tata Motors,1,100000,100569.83731001969,569.8373100196914,0.5698373100196914,21,21,0,100.0,27.135110000937683,927,2022-01-03 to 2025-10-01
BHARTIARTL.NS,Bharti Airtel,3,100000,100544.86470740366,544.8647074036562,0.5448647074036562,16,13,3,81.25,34.05404421272851,927,2022-01-03 to 2025-10-01
AXISBANK.NS,Axis Bank,5,100000,100536.69297552087,536.6929755208694,0.5366929755208694,17,13,4,76.47058823529412,31.570175030639376,927,2022-01-03 to 2025-10-01
INDUSINDBK.NS,IndusInd Bank,1,100000,100533.10208086655,533.1020808665489,0.533102080866549,16,14,2,87.5,33.31888005415931,927,2022-01-03 to 2025-10-01
INFY.NS,Infosys,5,100000,100489.21774642181,489.21774642181117,0.4892177464218112,10,9,1,90.0,48.92177464218112,927,2022-01-03 to 2025-10-01
CIPLA.NS,Cipla,17,100000,100475.88647964012,475.8864796401176,0.47588647964011754,8,5,3,62.5,59.4858099550147,926,2022-01-03 to 2025-10-01
HDFCLIFE.NS,HDFC Life Insurance,1,100000,100437.6972884541,437.6972884541028,0.4376972884541028,28,25,3,89.28571428571429,15.632046016217958,925,2022-01-03 to 2025-10-01
BAJFINANCE.NS,Bajaj Finance,4,100000,100428.0295615783,428.0295615782961,0.4280295615782961,17,15,2,88.23529411764706,25.178209504605654,927,2022-01-03 to 2025-10-01
ASIANPAINT.NS,Asian Paints,26,100000,100427.94460945038,427.9446094503801,0.4279446094503801,6,3,3,50.0,71.32410157506335,927,2022-01-03 to 2025-10-01
HINDALCO.NS,Hindalco Industries,1,100000,100416.96398004859,416.9639800485893,0.4169639800485893,33,30,3,90.9090909090909,12.635272122684524,926,2022-01-03 to 2025-10-01
KOTAKBANK.NS,Kotak Mahindra Bank,2,100000,100399.87521496273,399.8752149627253,0.39987521496272527,9,8,1,88.88888888888889,44.43057944030281,927,2022-01-03 to 2025-10-01
TECHM.NS,Tech Mahindra,1,100000,100387.96317892625,387.9631789262494,0.38796317892624943,20,16,4,80.0,19.39815894631247,927,2022-01-03 to 2025-10-01
NESTLEIND.NS,Nestle India,2,100000,100340.95171471829,340.95171471829235,0.34095171471829233,13,11,2,84.61538461538461,26.22705497833018,927,2022-01-03 to 2025-10-01
SBIN.NS,State Bank of India,1,100000,100318.75860727992,318.75860727991676,0.3187586072799168,27,22,5,81.48148148148148,11.805874343700621,927,2022-01-03 to 2025-10-01
JSWSTEEL.NS,JSW Steel,4,100000,100315.71767530713,315.7176753071253,0.3157176753071253,18,15,3,83.33333333333334,17.53987085039585,926,2022-01-03 to 2025-10-01
ICICIBANK.NS,ICICI Bank,1,100000,100312.19244599686,312.1924459968577,0.3121924459968577,16,15,1,93.75,19.512027874803607,927,2022-01-03 to 2025-10-01
RELIANCE.NS,Reliance Industries,1,100000,100311.05720151258,311.0572015125799,0.31105720151257993,13,11,2,84.61538461538461,23.927477039429224,927,2022-01-03 to 2025-10-01
COALINDIA.NS,Coal India,3,100000,100241.88606997616,241.88606997615716,0.24188606997615716,24,19,5,79.16666666666666,10.078586249006548,926,2022-01-03 to 2025-10-01
BPCL.NS,Bharat Petroleum,2,100000,100234.5301194196,234.53011941960722,0.23453011941960722,24,20,4,83.33333333333334,9.7720883091503,927,2022-01-03 to 2025-10-01
NTPC.NS,NTPC,2,100000,100213.38438333526,213.38438333525846,0.21338438333525847,32,27,5,84.375,6.668261979226827,927,2022-01-03 to 2025-10-01
DABUR.NS,Dabur India,21,100000,100190.32621210204,190.32621210203797,0.19032621210203796,6,5,1,83.33333333333334,31.721035350339662,927,2022-01-03 to 2025-10-01
ITC.NS,ITC Limited,13,100000,100177.99675758122,177.99675758121884,0.17799675758121886,8,7,1,87.5,22.249594697652356,927,2022-01-03 to 2025-10-01
ONGC.NS,Oil and Natural Gas Corporation,1,100000,100136.96368980495,136.96368980495026,0.13696368980495027,22,20,2,90.9090909090909,6.225622263861376,926,2022-01-03 to 2025-10-01
POWERGRID.NS,Power Grid Corporation,1,100000,100128.86706266465,128.86706266464898,0.12886706266464898,22,19,3,86.36363636363636,5.857593757484045,925,2022-01-03 to 2025-10-01
WIPRO.NS,Wipro,1,100000,100107.42988520485,107.42988520485233,0.10742988520485233,16,15,1,93.75,6.71436782530327,927,2022-01-03 to 2025-10-01
TATASTEEL.NS,Tata Steel,1,100000,100100.83507347235,100.8350734723499,0.10083507347234992,25,24,1,96.0,4.033402938893996,927,2022-01-03 to 2025-10-01
HDFCBANK.NS,HDFC Bank,1,100000,100098.38414860782,98.38414860781631,0.09838414860781633,18,11,7,61.111111111111114,5.465786033767573,927,2022-01-03 to 2025-10-01
IOC.NS,Indian Oil Corporation,12,100000,100087.23204631532,87.23204631531553,0.08723204631531553,14,11,3,78.57142857142857,6.2308604510939665,927,2022-01-03 to 2025-10-01
