Date,Action,Ticker,Reason,Price,Shares,Value,RS,Alphabetical Position,Return %,Entry Date,Days Held,RS at Exit
2022-02-01 00:00:00+05:30,BUY,AXISBANK.NS,RS Signal,778.6488647460938,128,99667.0546875,12.285497087151507,5.0,,,,
2022-02-24 00:00:00+05:30,SELL,AXISBANK.NS,RS Below Threshold,727.263427734375,128,93089.71875,,,-6.59930802422409,2022-02-01 00:00:00+05:30,23.0,-5.627695273236523
2022-02-24 00:00:00+05:30,BUY,HINDALCO.NS,RS Signal,503.02392578125,184,92556.40234375,5.826432095304016,22.0,,,,
2022-03-02 00:00:00+05:30,SELL,HINDALCO.NS,Take Profit,583.1443481445312,184,107298.56005859375,,,15.927755770035324,2022-02-24 00:00:00+05:30,6.0,17.43640980455386
2022-03-02 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,4807.81103515625,22,105771.8427734375,7.739288437280886,3.0,,,,
2022-03-30 00:00:00+05:30,SELL,APOLLOHOSP.NS,RS Below Threshold,4564.06982421875,22,100409.5361328125,,,-5.069691989872031,2022-03-02 00:00:00+05:30,28.0,-3.9143886306825233
2022-03-30 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,1991.5843505859375,50,99579.21752929688,21.33236059564566,1.0,,,,
2022-04-26 00:00:00+05:30,SELL,ADANIENT.NS,Take Profit,2390.8994140625,50,119544.970703125,,,20.050120566526914,2022-03-30 00:00:00+05:30,27.0,28.296735994455783
2022-04-26 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,2390.8994140625,49,117154.0712890625,28.296735994455783,1.0,,,,
2022-05-09 00:00:00+05:30,SELL,ADANIENT.NS,Stop Loss,2193.612548828125,49,107487.01489257812,,,-8.251575288947633,2022-04-26 00:00:00+05:30,13.0,1.74305460720322
2022-05-09 00:00:00+05:30,BUY,MandM.NS,RS Signal,863.7267456054688,124,107102.11645507812,8.147621173253475,33.0,,,,
2022-05-31 00:00:00+05:30,SELL,MandM.NS,Take Profit,997.873046875,124,123736.2578125,,,15.531104247037675,2022-05-09 00:00:00+05:30,22.0,12.264622607532255
2022-05-31 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,RS Signal,3495.9404296875,35,122357.9150390625,6.641462827564512,6.0,,,,
2022-06-15 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,RS Below Threshold,3345.756103515625,35,117101.46362304688,,,-4.2959635380657755,2022-05-31 00:00:00+05:30,15.0,-2.4556875818461688
2022-06-15 00:00:00+05:30,BUY,DRREDDY.NS,RS Signal,844.1297607421875,138,116489.90698242188,11.001598782613721,16.0,,,,
2022-06-17 00:00:00+05:30,SELL,DRREDDY.NS,RS Below Threshold,807.3700561523438,138,111417.06774902344,,,-4.354745715578535,2022-06-15 00:00:00+05:30,2.0,-2.4099260126095876
2022-06-17 00:00:00+05:30,BUY,MandM.NS,RS Signal,962.4673461914062,115,110683.74481201172,10.383944000871924,33.0,,,,
2022-07-11 00:00:00+05:30,SELL,MandM.NS,Take Profit,1123.9637451171875,115,129255.83068847656,,,16.779415900689102,2022-06-17 00:00:00+05:30,24.0,16.006174557491924
2022-07-11 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,2368.8896484375,54,127920.041015625,14.112269721116242,1.0,,,,
2022-08-08 00:00:00+05:30,SELL,ADANIENT.NS,Take Profit,2787.95556640625,54,150549.6005859375,,,17.690394242094072,2022-07-11 00:00:00+05:30,28.0,17.690394242094072
2022-08-08 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,2787.95556640625,53,147761.64501953125,17.690394242094072,1.0,,,,
2022-09-01 00:00:00+05:30,SELL,ADANIENT.NS,Take Profit,3228.681884765625,53,171120.13989257812,,,15.808226058906783,2022-08-08 00:00:00+05:30,24.0,21.543897476053665
2022-09-01 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,3228.681884765625,52,167891.4580078125,21.543897476053665,1.0,,,,
2022-09-15 00:00:00+05:30,SELL,ADANIENT.NS,Take Profit,3743.403564453125,52,194656.9853515625,,,15.942161478223937,2022-09-01 00:00:00+05:30,14.0,24.597410421680642
2022-09-15 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,3743.403564453125,51,190913.58178710938,24.597410421680642,1.0,,,,
2022-09-29 00:00:00+05:30,SELL,ADANIENT.NS,Stop Loss,3465.796142578125,51,176755.60327148438,,,-7.415909535138667,2022-09-15 00:00:00+05:30,14.0,7.343995669914458
2022-09-29 00:00:00+05:30,BUY,ADANIENT.NS,RS Signal,3465.796142578125,50,173289.80712890625,7.343995669914458,1.0,,,,
