Trade #,Ticker,Name,Buy Date,Sell Date,Buy Price,Sell Price,Peak Price,Shares,Investment,Proceeds,Profit/Loss,Return %,Days Held,Exit Reason,Capital After Trade,RSI at Buy
1,ASIANPAINT.NS,Asian Paints,2024-01-18 00:00:00+05:30,2024-01-25 00:00:00+05:30,2986.663722999068,2897.063811309096,3101.53173828125,33,98559.90285896925,95408.942764568,-3150.960094401249,-3.1970000000000027,7,Stop Loss,95408.942764568,15.05937098844673
2,AXISBANK.NS,Axis Bank,2024-01-29 00:00:00+05:30,2024-02-28 00:00:00+05:30,1034.3171387293876,1072.455078125,1099.1116943359375,92,95157.17676310366,98472.0441435494,3314.8673804457358,3.4835705442356564,30,Max Hold Period,98472.0441435494,32.7719639192011
3,DIVISLAB.NS,Divi's Laboratories,2024-02-29 00:00:00+05:30,2024-04-01 00:00:00+05:30,3428.252893169234,3530.11083984375,3566.520751953125,28,95991.08100873855,98648.26933110063,2657.1883223620825,2.7681616817297696,32,Max Hold Period,98648.26933110063,30.705714625163353
4,HCLTECH.NS,HCL Technologies,2024-04-02 00:00:00+05:30,2024-04-16 00:00:00+05:30,1445.657658317338,1402.2879285678177,1464.758056640625,68,98304.72076557898,95161.91884270341,-3142.801922875573,-3.197000000000013,14,Stop Loss,95161.91884270341,28.64333556146734
5,HDFCLIFE.NS,HDFC Life Insurance,2024-04-18 00:00:00+05:30,2024-04-29 00:00:00+05:30,600.4427372675129,582.4294551494876,602.231689453125,158,94869.95248826704,91836.96010721715,-3032.9923810498876,-3.1969999999999903,11,Stop Loss,91836.96010721715,33.53987925007944
6,KOTAKBANK.NS,Kotak Mahindra Bank,2024-04-30 00:00:00+05:30,2024-05-03 00:00:00+05:30,1616.362750328901,1567.871867819034,1616.362750328901,56,90516.31401841846,87622.50745924961,-2893.80655916885,-3.197000000000013,3,Stop Loss,87622.50745924961,30.924487907001435
7,LT.NS,Larsen & Toubro,2024-05-06 00:00:00+05:30,2024-05-09 00:00:00+05:30,3382.712861699477,3281.2314758484927,3427.6865234375,25,84567.82154248693,81864.18828777362,-2703.633254713306,-3.196999999999999,3,Stop Loss,81864.18828777362,31.141411328487266
8,RELIANCE.NS,Reliance Industries,2024-05-10 00:00:00+05:30,2024-06-11 00:00:00+05:30,1377.8766636438304,1445.9727783203125,1499.228515625,59,81294.72315498599,85145.78680382256,3851.063648836571,4.737163126190407,32,Max Hold Period,85145.78680382256,33.62063703679907
9,SBIN.NS,State Bank of India,2024-06-24 00:00:00+05:30,2024-07-23 00:00:00+05:30,804.8881970373593,849.6822277832031,875.9610595703125,105,84513.26068892273,89042.90402263016,4529.643333707427,5.359683553543372,29,Trailing Stop,89042.90402263016,34.61944182490659
10,TATASTEEL.NS,Tata Steel,2024-07-24 00:00:00+05:30,2024-08-05 00:00:00+05:30,155.56220580786476,150.89533963362882,161.56227111816406,572,88981.58172209864,86136.84055444314,-2844.741167655491,-3.196999999999998,12,Stop Loss,86136.84055444314,16.872993419187935
