Ticker,Name,Best Holding Period (days),Initial Investment,Final Investment,Total Profit/Loss,Return %,Number of Trades,Winning Trades,Losing Trades,Win Rate %,Avg Profit per Trade,Data Points,Test Period
MARUTI.NS,Maruti Suzuki,1,100000,108913.65453106098,8913.65453106098,8.91365453106098,114,81,33,71.05263157894737,78.1899520268507,927,2022-01-03 to 2025-10-01
ULTRACEMCO.NS,UltraTech Cement,10,100000,107077.31130375326,7077.31130375326,7.07731130375326,40,27,13,67.5,176.93278259383152,926,2022-01-03 to 2025-10-01
EICHERMOT.NS,Eicher Motors,19,100000,105797.5844785839,5797.5844785839,5.797584478583899,28,19,9,67.85714285714286,207.05658852085358,925,2022-01-03 to 2025-10-01
DIVISLAB.NS,Divi's Laboratories,2,100000,105793.38271880172,5793.382718801717,5.793382718801716,92,69,23,75.0,62.97155129132301,925,2022-01-03 to 2025-10-01
APOLLOHOSP.NS,Apollo Hospitals,1,100000,105369.93366185584,5369.933661855845,5.369933661855844,111,78,33,70.27027027027027,48.37778073744004,926,2022-01-03 to 2025-10-01
ADANIENT.NS,Adani Enterprises,1,100000,105181.98762775779,5181.987627757786,5.181987627757786,131,94,37,71.7557251908397,39.55715746379989,927,2022-01-03 to 2025-10-01
BAJAJ-AUTO.NS,Bajaj Auto,2,100000,105113.81261744717,5113.812617447169,5.113812617447169,74,50,24,67.56756756756756,69.10557591144823,925,2022-01-03 to 2025-10-01
BRITANNIA.NS,Britannia Industries,23,100000,103623.79928856117,3623.7992885611748,3.623799288561175,26,16,10,61.53846153846154,139.37689571389134,927,2022-01-03 to 2025-10-01
TITAN.NS,Titan Company,1,100000,103162.98929178607,3162.9892917860707,3.1629892917860705,133,95,38,71.42857142857143,23.78187437433136,927,2022-01-03 to 2025-10-01
TCS.NS,Tata Consultancy Services,1,100000,102882.45926530522,2882.459265305224,2.882459265305224,165,108,57,65.45454545454545,17.469450092758933,927,2022-01-03 to 2025-10-01
MandM.NS,MandM.NS,11,100000,102816.05825479653,2816.0582547965314,2.8160582547965314,33,24,9,72.72727272727273,85.33509863019792,927,2022-01-03 to 2025-10-01
ASIANPAINT.NS,Asian Paints,1,100000,102551.0681954789,2551.0681954789034,2.551068195478903,160,106,54,66.25,15.944176221743145,927,2022-01-03 to 2025-10-01
LT.NS,Larsen & Toubro,1,100000,102528.66429175723,2528.6642917572317,2.5286642917572317,120,81,39,67.5,21.072202431310263,927,2022-01-03 to 2025-10-01
GRASIM.NS,Grasim Industries,1,100000,102431.24507892341,2431.2450789234135,2.4312450789234137,120,87,33,72.5,20.260375657695114,926,2022-01-03 to 2025-10-01
BAJAJFINSV.NS,Bajaj Finserv,1,100000,101942.92867359385,1942.9286735938513,1.9429286735938511,134,96,38,71.64179104477611,14.49946771338695,925,2022-01-03 to 2025-10-01
INDUSINDBK.NS,IndusInd Bank,1,100000,101866.73873670232,1866.7387367023184,1.8667387367023183,139,102,37,73.38129496402878,13.429775084189341,927,2022-01-03 to 2025-10-01
TECHM.NS,Tech Mahindra,1,100000,101627.00262559371,1627.0026255937119,1.6270026255937118,137,98,39,71.53284671532847,11.875931573676729,927,2022-01-03 to 2025-10-01
HINDUNILVR.NS,Hindustan Unilever,2,100000,101570.21108563118,1570.2110856311774,1.5702110856311773,104,76,28,73.07692307692307,15.098183515684399,926,2022-01-03 to 2025-10-01
ADANIPORTS.NS,Adani Ports,1,100000,101563.77528365314,1563.7752836531436,1.5637752836531436,113,72,41,63.716814159292035,13.838719324364103,926,2022-01-03 to 2025-10-01
KOTAKBANK.NS,Kotak Mahindra Bank,1,100000,101546.27923244053,1546.279232440531,1.546279232440531,118,82,36,69.49152542372882,13.104061291868906,927,2022-01-03 to 2025-10-01
DRREDDY.NS,Dr. Reddy's Laboratories,1,100000,101356.0525309879,1356.0525309879013,1.3560525309879012,139,99,40,71.22302158273382,9.755773604229505,926,2022-01-03 to 2025-10-01
INFY.NS,Infosys,1,100000,101340.24783506093,1340.2478350609308,1.3402478350609308,149,99,50,66.44295302013423,8.994951913160609,927,2022-01-03 to 2025-10-01
SUNPHARMA.NS,Sun Pharmaceutical,1,100000,101259.99592070992,1259.9959207099164,1.2599959207099163,122,87,35,71.31147540983606,10.327835415655052,927,2022-01-03 to 2025-10-01
HCLTECH.NS,HCL Technologies,1,100000,101234.72584534624,1234.7258453462418,1.2347258453462417,124,81,43,65.32258064516128,9.957466494727758,927,2022-01-03 to 2025-10-01
SBILIFE.NS,SBI Life Insurance,1,100000,101198.41461420059,1198.414614200592,1.198414614200592,120,78,42,65.0,9.9867884516716,925,2022-01-03 to 2025-10-01
RELIANCE.NS,Reliance Industries,1,100000,101081.559506708,1081.5595067079994,1.0815595067079993,142,94,48,66.19718309859155,7.616616244422531,927,2022-01-03 to 2025-10-01
ICICIBANK.NS,ICICI Bank,28,100000,100986.00739936398,986.0073993639817,0.9860073993639816,26,19,7,73.07692307692307,37.923361513999296,927,2022-01-03 to 2025-10-01
CIPLA.NS,Cipla,1,100000,100962.32003631267,962.3200363126671,0.9623200363126672,108,73,35,67.5925925925926,8.91037070659877,926,2022-01-03 to 2025-10-01
JSWSTEEL.NS,JSW Steel,1,100000,100941.1001585285,941.1001585284976,0.9411001585284975,105,78,27,74.28571428571429,8.962858652652358,926,2022-01-03 to 2025-10-01
BHARTIARTL.NS,Bharti Airtel,1,100000,100938.2722350427,938.2722350427066,0.9382722350427065,79,59,20,74.68354430379746,11.876863734717805,927,2022-01-03 to 2025-10-01
NESTLEIND.NS,Nestle India,1,100000,100812.7786475174,812.7786475174071,0.8127786475174071,134,96,38,71.64179104477611,6.065512294906023,927,2022-01-03 to 2025-10-01
TATAMOTORS.NS,Tata Motors,1,100000,100809.46805810582,809.4680581058201,0.8094680581058201,135,89,46,65.92592592592592,5.996059689672742,927,2022-01-03 to 2025-10-01
BAJFINANCE.NS,Bajaj Finance,1,100000,100698.80838470305,698.8083847030503,0.6988083847030502,143,92,51,64.33566433566433,4.886771921000351,927,2022-01-03 to 2025-10-01
AXISBANK.NS,Axis Bank,1,100000,100637.77981582054,637.7798158205405,0.6377798158205406,122,84,38,68.85245901639344,5.227703408365087,927,2022-01-03 to 2025-10-01
DABUR.NS,Dabur India,1,100000,100604.87554574008,604.8755457400839,0.6048755457400838,143,104,39,72.72727272727273,4.229898921259328,927,2022-01-03 to 2025-10-01
HDFCLIFE.NS,HDFC Life Insurance,1,100000,100601.5555832278,601.5555832278042,0.6015555832278041,149,92,57,61.74496644295302,4.037285793475196,925,2022-01-03 to 2025-10-01
SBIN.NS,State Bank of India,1,100000,100593.02115389092,593.0211538909207,0.5930211538909207,122,86,36,70.49180327868852,4.860829130253448,927,2022-01-03 to 2025-10-01
HDFCBANK.NS,HDFC Bank,2,100000,100564.37145583058,564.3714558305801,0.5643714558305801,94,66,28,70.2127659574468,6.003951657772129,927,2022-01-03 to 2025-10-01
HINDALCO.NS,Hindalco Industries,1,100000,100509.2560104369,509.25601043690403,0.509256010436904,114,75,39,65.78947368421053,4.4671579862886315,926,2022-01-03 to 2025-10-01
COALINDIA.NS,Coal India,7,100000,100282.87848613104,282.8784861310414,0.28287848613104144,38,29,9,76.31578947368422,7.444170687658985,926,2022-01-03 to 2025-10-01
ONGC.NS,Oil and Natural Gas Corporation,1,100000,100256.43636202316,256.43636202315975,0.2564363620231597,115,84,31,73.04347826086956,2.2298814088970413,926,2022-01-03 to 2025-10-01
WIPRO.NS,Wipro,1,100000,100256.38362845173,256.38362845173106,0.25638362845173107,164,102,62,62.19512195121951,1.5633148076325065,927,2022-01-03 to 2025-10-01
NTPC.NS,NTPC,3,100000,100239.68240300471,239.6824030047137,0.23968240300471372,58,45,13,77.58620689655173,4.132455224219202,927,2022-01-03 to 2025-10-01
ITC.NS,ITC Limited,11,100000,100220.31707657316,220.31707657316292,0.2203170765731629,28,19,9,67.85714285714286,7.868467020470105,927,2022-01-03 to 2025-10-01
BPCL.NS,Bharat Petroleum,1,100000,100209.54331288338,209.5433128833829,0.20954331288338288,136,90,46,66.17647058823529,1.540759653554286,927,2022-01-03 to 2025-10-01
POWERGRID.NS,Power Grid Corporation,1,100000,100201.706997371,201.70699737100222,0.20170699737100223,101,72,29,71.28712871287128,1.9970989838713091,925,2022-01-03 to 2025-10-01
TATASTEEL.NS,Tata Steel,1,100000,100126.30903700364,126.30903700363706,0.12630903700363705,128,85,43,66.40625,0.9867893515909145,927,2022-01-03 to 2025-10-01
IOC.NS,Indian Oil Corporation,1,100000,100101.23560190697,101.23560190697026,0.10123560190697027,125,81,44,64.8,0.8098848152557621,927,2022-01-03 to 2025-10-01
